Address,Price,Price Type,Latitude,Longitude,Beds,Baths,Date
"1101 - 1318 Homer Street, Vancouver","1,225,000",For Sale,49.2738747,-123.1250676,0,1,10-Mar-25
"2007 - 680 Seylynn Cres , Vancouver","1,365,160",For Sale,49.3125883,-123.0320673,,,10-Mar-25
"4D - 1500 Alberni Street, Vancouver","1,199,000",For Sale,49.289506,-123.13059,1,2,10-Mar-25
"405 - 2965 Horley Street, Vancouver","774,900",For Sale,49.2392292,-123.044556,3,2,10-Mar-25
"1402 - 1625 Hornby Street, Vancouver","1,129,000",For Sale,49.2751282,-123.1336648,2,2,10-Mar-25
"2716 37th Avenue, Vancouver","4,800,000",For Sale,49.2382623,-123.1665244,4,4,10-Mar-25
"5433 Lanark Street, Vancouver","2,198,000",For Sale,49.2353744,-123.0759258,4,4,10-Mar-25
"1374 Kilmer Road, North Vancouver","3,549,000",For Sale,49.3465974,-123.0359104,4,3,10-Mar-25
"806 - 6900 Pearson Way, Richmond","699,000",For Sale,49.1750156,-123.1469593,1,1,10-Mar-25
"605 - 6811 Pearson Way, Richmond","1,135,000",For Sale,49.1765483,-123.1484157,2,2,10-Mar-25
"407 - 733 3rd Street, North Vancouver","1,099,000",For Sale,49.308291,-123.0587404,1,1,10-Mar-25
"509 - 4880 Lougheed Hwy , Burnaby","799,000",For Sale,49.2652118,-122.9944925,3,2,10-Mar-25
"201 - 13065 84 Avenue, Surrey","1,749,000",For Sale,49.1559749,-122.8604749,2,2,10-Mar-25
"1 - 1982 Venables Street, Vancouver","1,879,000",For Sale,49.2764159,-123.0640612,3,3,10-Mar-25
"3167 Gambier Avenue, Coquitlam","1,290,000",For Sale,49.2888227,-122.7800128,3,2,10-Mar-25
"102 - 138 Athletes Way, Vancouver","4,500",For Rent,49.2714688,-123.1076714,,,10-Mar-25
"11216 Wallace Drive, Surrey","1,300,000",For Sale,49.206558,-122.8137085,3,2,10-Mar-25
"402 - 1419 Beach Avenue, Vancouver","1,869,000",For Sale,49.2820099,-123.1396201,2,3,10-Mar-25
"202 - 4479 10th Avenue, Vancouver","628,000",For Sale,49.2639771,-123.2084503,1,1,10-Mar-25
"11 - 14177 103 Avenue, Surrey","985,000",For Sale,49.1897716,-122.8294931,3,4,10-Mar-25
"2465 Brock Street, Vancouver","1,598,000",For Sale,49.2439373,-123.0553795,3,4,10-Mar-25
"609 - 7080 St. Albans Road, Richmond","819,000",For Sale,49.1623971,-123.1303313,2,2,10-Mar-25
"3402 - 1281 Cordova Street, Vancouver","5,998,000",For Sale,49.2899647,-123.1233648,3,3,10-Mar-25
"211 - 15168 33 Avenue, Surrey","645,000",For Sale,49.0623164,-122.8022901,2,2,10-Mar-25
"316 Begin St , Coquitlam","2,299,000",For Sale,49.2419012,-122.8601527,2,2,10-Mar-25
"3108 62nd Avenue, Vancouver","1,999,000",For Sale,49.2135732,-123.0411769,6,6,10-Mar-25
"312 - 17712 57a Avenue, Surrey","2,700",For Rent,49.1066274,-122.7317488,2,2,10-Mar-25
"2 - 2342 40th Avenue, Vancouver","2,080",For Rent,49.2336832,-123.0581665,2,1,10-Mar-25
"11224 Wallace Drive, Surrey","1,200,000",For Sale,49.2063241,-122.8139358,,,10-Mar-25
"11208 Wallace Drive, Surrey","1,325,000",For Sale,49.2063864,-122.8134497,,,10-Mar-25
"4707 - 2108 Gilmore Avenue, Burnaby","1,238,000",For Sale,49.2653663,-123.0133104,3,2,10-Mar-25
"305 - 5311 Cedarbridge Way, Richmond","699,800",For Sale,49.1760534,-123.1438597,2,2,10-Mar-25
"1208 - 595 Austin Avenue, Coquitlam","1,034,000",For Sale,49.2496465,-122.8865732,2,2,10-Mar-25
"12A - 338 Taylor Way, West Vancouver","1,180,000",For Sale,49.3265128,-123.1336002,2,2,10-Mar-25
"606 - 611 Tyndall Street, Coquitlam","625,900",For Sale,49.2634453,-122.8921777,2,2,10-Mar-25
"417 St Andrews Avenue, North Vancouver","1,298,000",For Sale,49.3120713,-123.0702332,3,3,10-Mar-25
"2005 - 788 Richards Street, Vancouver","788,000",For Sale,49.2803641,-123.116879,1,1,10-Mar-25
"2105 - 188 Keefer Place, Vancouver","1,068,000",For Sale,49.2796404,-123.1088566,2,2,10-Mar-25
"2532 Burian Drive, Coquitlam","1,175,000",For Sale,49.2484525,-122.8232302,3,2,10-Mar-25
"302 - 3596 Malsum Drive, North Vancouver","779,900",For Sale,49.3112441,-122.9723132,2,2,10-Mar-25
"311 - 15165 Thrift Street, Surrey","1,150,000",For Sale,49.238723,-122.876871,2,3,10-Mar-25
"7080 193 Street, Surrey","2,150,000",For Sale,49.1315309,-122.6880381,9,7,10-Mar-25
"10600 Ainsworth Crescent, Richmond","2,999,999",For Sale,49.1369462,-123.1059822,5,6,10-Mar-25
"4640 Foxglove Crescent, Richmond","3,690,000",For Sale,49.1645866,-123.174198,5,6,10-Mar-25
"1445 El Camino Drive, Coquitlam","1,775,000",For Sale,49.2974612,-122.7762756,6,4,10-Mar-25
"305 Sorrento Place, Coquitlam","2,599,000",For Sale,49.2402015,-122.8266833,5,5,10-Mar-25
"950 15th Avenue, Vancouver","1,599,000",For Sale,49.2576663,-123.1260629,3,2,10-Mar-25
"119 - 750 Dogwood Street, Coquitlam","829,000",For Sale,49.2625468,-122.8838489,3,2,10-Mar-25
"709 - 7303 Noble Lane, Burnaby","609,900",For Sale,49.2194426,-122.9491631,1,1,10-Mar-25
"309 - 1777 13th Avenue, Vancouver","799,000",For Sale,49.2601965,-123.1450401,1,1,10-Mar-25
"202 - 2036 10th Avenue, Vancouver","769,000",For Sale,49.2626237,-123.1514218,1,1,10-Mar-25
"36 - 730 Farrow Street, Coquitlam","849,000",For Sale,49.26258,-122.89235,3,2,10-Mar-25
"18 - 15188 62a Avenue, Surrey","1,100,000",For Sale,49.1158982,-122.802851,3,3,10-Mar-25
"3443 2nd Avenue, Vancouver","2,998,000",For Sale,49.2705607,-123.1807561,4,4,10-Mar-25
"1436 Grand Boulevard, North Vancouver","2,498,000",For Sale,49.3213553,-123.0575362,5,3,10-Mar-25
"3559 18th Avenue, Vancouver","2,990,000",For Sale,49.2567039,-123.1835612,5,4,10-Mar-25
"809 - 8750 University Crescent, Burnaby","588,000",For Sale,49.2797351,-122.9105226,3,3,10-Mar-25
"1205 - 4433 Alaska Street, Burnaby","665,000",For Sale,49.2628202,-123.0041474,1,1,10-Mar-25
"2668 8th Avenue, Vancouver","1,549,988",For Sale,49.2627721,-123.0505007,5,4,10-Mar-25
"3001 - 1482 Robson Street, Vancouver","5,334,000",For Sale,49.2885128,-123.1311775,3,3,10-Mar-25
"429 - 11077 Ravine Road, Surrey","458,888",For Sale,49.2040616,-122.8542636,1,1,10-Mar-25
"203 - 2167 Bellevue Avenue, West Vancouver","1,085,000",For Sale,49.3297426,-123.1700708,2,2,10-Mar-25
"315 - 9371 Hemlock Drive, Richmond","599,000",For Sale,49.1674596,-123.1216107,1,1,10-Mar-25
"613 - 13458 95 Avenue, Surrey","744,900",For Sale,49.1747077,-122.8104842,2,2,10-Mar-25
"1802 - 13495 Central Avenue, Surrey","459,000",For Sale,49.1906551,-122.8482557,1,1,10-Mar-25
"10777 Springmont Drive, Richmond","3,998,000",For Sale,49.1368908,-123.1931551,2,2,10-Mar-25
"578 59th Avenue, Vancouver","3,280,000",For Sale,49.2166691,-123.1194328,6,7,10-Mar-25
"1859 Berkley Road, North Vancouver","2,195,000",For Sale,49.3243581,-123.0052313,8,5,10-Mar-25
"2368 180 Street, Surrey","3,890,000",For Sale,49.0450012,-122.7240759,5,4,10-Mar-25
"202 - 3420 St Catherines Street, Vancouver","2,200",For Rent,49.2542001,-123.0853415,1,1,10-Mar-25
"604 - 1265 Barclay Street, Vancouver","2,550",For Rent,49.2854518,-123.1301361,1,1,10-Mar-25
"1005 - 2351 Beta Avenue, Burnaby","678,000",For Sale,49.2632921,-122.9980174,3,2,10-Mar-25
"1201 - 1455 Howe Street, Vancouver","1,125,000",For Sale,49.2753791,-123.131208,,,10-Mar-25
"3110 - 4730 Lougheed Highway, Burnaby","599,000",For Sale,49.265665,-122.9952381,2,2,10-Mar-25
"2409 - 2351 Beta Avenue, Burnaby","659,900",For Sale,49.2632921,-122.9980174,1,1,10-Mar-25
"701 - 384 1st Avenue, Vancouver","699,000",For Sale,49.2675068,-123.0957013,1,1,10-Mar-25
"1008 - 4200 Mayberry Street, Burnaby","530,000",For Sale,49.2262496,-123.0122235,1,1,10-Mar-25
"305 - 5788 Gilbert Road, Richmond","788,888",For Sale,49.1721137,-123.1465188,2,1,10-Mar-25
"205 - 7727 Royal Oak Avenue, Burnaby","739,800",For Sale,49.2136331,-122.9888259,2,2,10-Mar-25
"4007 - 1111 Alberni Street, Vancouver","1,999,000",For Sale,49.2855785,-123.1238406,2,2,10-Mar-25
"15 - 6378 142 Street, Surrey","886,900",For Sale,49.1182721,-122.827912,3,3,10-Mar-25
"170 - 13898 64 Avenue, Surrey","959,900",For Sale,49.1173812,-122.8388355,4,4,10-Mar-25
"4270 Rockridge Place, West Vancouver","5,880,000",For Sale,49.3470893,-123.2383004,8,6,10-Mar-25
"3913 Dundas Street, Burnaby","2,580,000",For Sale,49.2849261,-123.0181286,5,3,10-Mar-25
"4188 Coventry Way, North Vancouver","3,348,000",For Sale,49.3475621,-123.0709058,4,4,10-Mar-25
"4710 Reid Street, Vancouver","1,688,800",For Sale,49.2426791,-123.0368881,5,3,10-Mar-25
"1715 Berkley Road, North Vancouver","1,999,000",For Sale,49.3227754,-123.0052769,4,3,10-Mar-25
"Street, Surrey","2,700",For Rent,49.1913466,-122.8490125,2,2,10-Mar-25
"4104 - 3833 Evergreen Place, Burnaby","659,000",For Sale,49.249599,-122.8943497,2,2,10-Mar-25
"212 - 4468 Dawson Street, Burnaby","849,900",For Sale,49.2642817,-123.0041922,3,2,10-Mar-25
"3801 - 6000 Mckay Avenue, Burnaby","668,800",For Sale,49.2291698,-123.0028825,2,2,10-Mar-25
"322 - 2768 Cranberry Drive, Vancouver","799,000",For Sale,49.2615355,-123.153472,1,1,10-Mar-25
"202 - 1331 Alberni Street, Vancouver","698,000",For Sale,49.2882466,-123.1276892,1,1,10-Mar-25
"1503 - 200 Klahanie Court, West Vancouver","818,000",For Sale,49.3255228,-123.1247727,1,1,10-Mar-25
"314 - 13258 105 Avenue, Surrey","549,900",For Sale,49.1930305,-122.8547066,1,1,10-Mar-25
"211 - 1209 Howie Avenue, Coquitlam","398,888",For Sale,49.25077,-122.85856,1,1,10-Mar-25
"2 - 8079 Selkirk Street, Vancouver","1,988,999",For Sale,49.2123655,-123.133186,3,4,10-Mar-25
"13109 66b Avenue, Surrey","1,350,000",For Sale,49.1242906,-122.8591572,4,3,10-Mar-25
"404 - 10428 Whalley Boulevard, Surrey","649,649",For Sale,49.19237,-122.8415042,2,2,10-Mar-25
"3507 - 602 Citadel Parade, Vancouver","699,900",For Sale,49.2792302,-123.1100504,1,1,10-Mar-25
"806 - 518 Beatty Street, Vancouver","1,198,000",For Sale,49.2808689,-123.1087954,1,1,10-Mar-25
"1902 - 5311 Goring Street, Burnaby","648,000",For Sale,49.2630666,-122.9871461,1,2,10-Mar-25
"403 - 288 King Edward Avenue, Vancouver","1,699,000",For Sale,49.2486383,-123.1109928,3,2,10-Mar-25
"1807 - 2351 Beta Avenue, Burnaby","499,000",For Sale,49.2632921,-122.9980174,1,1,10-Mar-25
"1109 - 110 Switchmen Street, Vancouver","815,000",For Sale,49.2708692,-123.1016807,1,1,10-Mar-25
"102 - 6554 176 Street, Surrey",19,For Rent,49.1216372,-122.7342506,,,10-Mar-25
"3905 - 1480 Howe Street, Vancouver","1,698,000",For Sale,49.2749438,-123.1312301,2,2,10-Mar-25
"806 - 13359 Old Yale Road, Surrey","439,800",For Sale,49.1871713,-122.853656,1,1,10-Mar-25
"837 Windermere Street, Vancouver","1,499,888",For Sale,49.2768019,-123.0366943,2,1,10-Mar-25
"5295 Gulf Place, West Vancouver","4,998,000",For Sale,49.3472201,-123.2688279,5,4,10-Mar-25
"1155 Sinclair Street, West Vancouver","4,490,000",For Sale,49.3351458,-123.1635261,6,5,10-Mar-25
"3507 - 1151 Georgia Street, Vancouver","7,500",For Rent,49.2868478,-123.1243355,2,3,10-Mar-25
"212 - 1540 Haro Street , Vancouver","2,375",For Rent,49.2882723,-123.1331205,0,1,10-Mar-25
"Boundary Road, Burnaby","2,450",For Rent,49.2883809,-123.0232459,1,1,10-Mar-25
"304 - 455 Bromley Street, Coquitlam","618,000",For Sale,49.2481976,-122.8182555,2,2,10-Mar-25
"1505 - 5782 Berton Avenue, Vancouver","1,380,000",For Sale,49.2552368,-123.233794,3,2,10-Mar-25
"107 - 13258 105 Avenue, Surrey","654,900",For Sale,49.1930305,-122.8547066,2,2,10-Mar-25
"2305 - 1155 Seymour Street, Vancouver","699,000",For Sale,49.2771445,-123.1245855,1,1,10-Mar-25
"1007 - 555 Sydney Avenue, Coquitlam","679,500",For Sale,49.248371,-122.8888785,1,1,10-Mar-25
"215 - 13933 105 Boulevard, Surrey","489,000",For Sale,49.19446,-122.83606,1,1,10-Mar-25
"1304 - 4890 Lougheed Highway, Burnaby","859,900",For Sale,49.2649736,-122.9928699,2,2,10-Mar-25
"1041 53rd Avenue, Vancouver","5,998,000",For Sale,49.2230694,-123.1296252,3,3,10-Mar-25
"3491 Pender Street, Vancouver","1,960,000",For Sale,49.2804639,-123.0287508,1,1,10-Mar-25
"151 Holdom Avenue, Burnaby","1,998,000",For Sale,49.2829038,-122.9811594,4,4,10-Mar-25
"10060 Swinton Crescent, Richmond","2,350,000",For Sale,49.1339805,-123.1107081,5,3,10-Mar-25
"16105 109a Avenue, Surrey","1,725,000",For Sale,49.2018315,-122.7763595,2,2,10-Mar-25
"618 - 1088 Richards Street , Vancouver","3,600",For Rent,49.2770778,-123.1219312,4,4,10-Mar-25
"2 - 1328 35th Avenue, Vancouver","1,638,000",For Sale,49.2383386,-123.0784475,3,4,10-Mar-25
"415 - 6788 Minoru Boulevard, Richmond","689,000",For Sale,49.1633764,-123.1401484,1,1,10-Mar-25
"115 - 13258 105 Avenue, Surrey","629,900",For Sale,49.1930305,-122.8547066,2,1,10-Mar-25
"505 - 55 Cordova Street, Vancouver","849,000",For Sale,49.2828753,-123.1056654,0,1,10-Mar-25
"105 - 10011 River Drive, Richmond","597,000",For Sale,49.1991911,-123.1127993,2,2,10-Mar-25
"1302 - 3809 Evergreen Place, Burnaby","618,800",For Sale,49.2498579,-122.8940588,1,1,10-Mar-25
"508 - 8033 Saba Road, Richmond","799,900",For Sale,49.1693121,-123.1352121,2,2,10-Mar-25
"706 - 1661 Ontario Street, Vancouver","989,888",For Sale,49.2705883,-123.1047753,1,1,10-Mar-25
"209 - 6655 Lynas Lane, Richmond","499,900",For Sale,49.1646029,-123.1669911,2,1,10-Mar-25
"1002 - 433 Marine Drive, Vancouver","578,000",For Sale,49.211344,-123.0963781,1,1,10-Mar-25
"1006 - 3920 Hastings Street, Burnaby","699,000",For Sale,49.280895,-123.0178722,2,1,10-Mar-25
"2110 Ferndale Street, Vancouver","1,625,000",For Sale,49.2794855,-123.0615462,4,3,10-Mar-25
"4254 Caddy Road, North Vancouver","2,399,800",For Sale,49.3116814,-122.9535138,2,2,10-Mar-25
"14112 Trites Road, Surrey","2,999,990",For Sale,49.1016086,-122.8313563,5,3,10-Mar-25
"10527 159b Street, Surrey","1,750,000",For Sale,49.193774,-122.7791044,4,4,10-Mar-25
"1999 Amble Greene Drive, Surrey","1,839,000",For Sale,49.0382472,-122.8562579,4,3,10-Mar-25
"218 - 10780 No. 5 Road, Richmond","783,000",For Sale,49.134504,-123.0901255,2,1,10-Mar-25
"209 - 257 Keith Road, North Vancouver","1,099,000",For Sale,49.3146373,-123.0691507,2,2,10-Mar-25
"57 - 7288 Heather Street, Richmond","1,548,000",For Sale,49.1609174,-123.1208063,4,3,10-Mar-25
"5802 - 2108 Gilmore Avenue, Burnaby","699,900",For Sale,49.2653663,-123.0133104,2,2,10-Mar-25
"PH7 - 380 10th Avenue, Vancouver","1,250,000",For Sale,49.2616904,-123.0965243,2,3,10-Mar-25
"7481 Laurel Street, Vancouver","1,799,000",For Sale,49.2175692,-123.1263549,4,4,10-Mar-25
"425 - 11077 Ravine Road, Surrey","456,900",For Sale,49.2040616,-122.8542636,1,1,10-Mar-25
"1203 - 1146 Harwood Street, Vancouver","588,000",For Sale,49.2795017,-123.134697,1,1,10-Mar-25
"3575 20th Avenue, Vancouver","3,680,000",For Sale,49.25491,-123.183995,5,3,10-Mar-25
"14756 Wellington Drive, Surrey","1,489,880",For Sale,49.2089118,-122.8129153,2,2,10-Mar-25
"9248 General Currie Road, Richmond","4,500",For Rent,49.1591441,-123.1215448,4,3,10-Mar-25
"303 - 177 3rd Street, North Vancouver","1,319,000",For Sale,49.3121688,-123.0746035,2,2,10-Mar-25
"403 - 1288 Alberni Street, Vancouver","969,000",For Sale,49.2870669,-123.1270333,2,2,10-Mar-25
"63 - 9285 122 Street, Surrey","615,000",For Sale,49.1721838,-122.8849246,2,2,10-Mar-25
"1508 19th Avenue, Vancouver","1,549,900",For Sale,49.2532838,-123.0727363,1,1,10-Mar-25
"706 - 1500 Fern Street, North Vancouver","1,340,000",For Sale,49.3117599,-123.0322935,3,3,10-Mar-25
"29 - 10433 158 Street, Surrey","878,999",For Sale,49.1923585,-122.7845215,3,3,10-Mar-25
"52 - 6537 138 Street, Surrey","699,000",For Sale,49.1209769,-122.8401944,2,2,10-Mar-25
"2578 4th Avenue, Vancouver","1,899,999",For Sale,49.2680565,-123.1639826,4,3,10-Mar-25
"8287 Victoria Drive, Vancouver","1,650,000",For Sale,49.2101052,-123.0664818,3,1,10-Mar-25
"5555 Lanark Street, Vancouver","1,799,000",For Sale,49.2341933,-123.0760292,8,3,10-Mar-25
"1308 Sadie Crescent, Coquitlam","2,099,000",For Sale,49.2916194,-122.756529,1,2,10-Mar-25
"1802 - 6331 Buswell Street, Richmond","1,678,000",For Sale,49.1681961,-123.1340376,4,3,10-Mar-25
"318 - 2320 40th Avenue, Vancouver","539,000",For Sale,49.2338904,-123.0584712,1,1,10-Mar-25
"206 - 2988 Silver Springs Boulevard, Coquitlam","545,900",For Sale,49.29563,-122.7901299,1,1,10-Mar-25
"199 Victory Ship Way, North Vancouver","1,149,000",For Sale,49.3088826,-123.0773012,2,2,10-Mar-25
"3035 Maplewood Court, Coquitlam","1,928,000",For Sale,49.3055892,-122.7945409,5,3,10-Mar-25
"11331 No. 2 Road, Richmond","3,390,000",For Sale,49.131301,-123.1592799,5,6,10-Mar-25
"5449 Royal Oak Avenue, Burnaby","2,099,900",For Sale,49.2349221,-122.9892968,2,3,10-Mar-25
"205 - 360 36th Avenue, Vancouver","689,900",For Sale,49.2378715,-123.0986935,1,1,10-Mar-25
"403 - 6900 Pearson Way, Richmond","1,049,000",For Sale,49.1750156,-123.1469593,2,2,10-Mar-25
"302 - 1508 Mariner Walk, Vancouver","820,000",For Sale,49.2699916,-123.1392084,2,2,10-Mar-25
"1001 - 1688 Pullman Porter Street, Vancouver","758,000",For Sale,49.2706831,-123.1038068,1,1,10-Mar-25
"5741 Seaview Road, West Vancouver","5,498,000",For Sale,49.3545337,-123.2695109,4,6,10-Mar-25
"1387 35th Avenue, Vancouver","1,899,000",For Sale,49.2387702,-123.07721,6,3,10-Mar-25
"6691 121a Street Street, Surrey","1,799,999",For Sale,49.1245726,-122.8864199,4,4,10-Mar-25
"118 - 6033 Katsura Street, Richmond","698,000",For Sale,49.1697085,-123.122552,4,4,10-Mar-25
"510 - 15848 Fraser Highway, Surrey","599,999",For Sale,49.1593464,-122.7852114,3,4,10-Mar-25
"316 - 1675 10th Avenue, Vancouver","899,000",For Sale,49.2629561,-123.1424554,3,2,10-Mar-25
"24 - 12635 63 Avenue, Surrey","1,139,900",For Sale,49.1177605,-122.8728585,2,1,10-Mar-25
"404 - 1630 1st Avenue, Vancouver","998,000",For Sale,49.2704235,-123.1416075,2,2,10-Mar-25
"909 - 6808 Minoru Boulevard, Richmond","799,000",For Sale,49.1633764,-123.1401484,2,1,10-Mar-25
"6 - 12036 66 Avenue, Surrey","868,800",For Sale,49.1227484,-122.8895617,3,3,10-Mar-25
"3507 - 1955 Alpha Way, Burnaby","789,000",For Sale,49.2668104,-123.0006967,2,1,10-Mar-25
"51 - 13706 74 Avenue, Surrey","599,000",For Sale,49.1366181,-122.8420568,2,2,10-Mar-25
"59 - 3039 156 Street, Surrey","575,000",For Sale,49.0572527,-122.790431,3,3,10-Mar-25
"102 - 5689 Kings Road, Vancouver","798,800",For Sale,49.2656914,-123.2410071,1,1,10-Mar-25
"6993 149a Street, Surrey","2,089,900",For Sale,49.1299653,-122.8080435,9,6,10-Mar-25
"12 - 6383 140 Street, Surrey","849,000",For Sale,49.1186173,-122.8352831,4,4,10-Mar-25
"12431 113b Avenue, Surrey","1,190,000",For Sale,49.2090803,-122.8778526,2,1,10-Mar-25
"6060 9th Avenue, Burnaby","1,150,000",For Sale,49.1962486,-122.9639104,0,0,10-Mar-25
"2976 42nd Avenue, Vancouver","2,588,000",For Sale,49.2336066,-123.1724523,5,4,10-Mar-25
"23 - 1133 Ridgewood Drive, North Vancouver","1,899,800",For Sale,49.3391501,-123.1053957,3,4,10-Mar-25
"108 - 330 1st Street, North Vancouver","475,000",For Sale,49.3151971,-123.0854774,1,1,10-Mar-25
"317 - 1550 Barclay Street, Vancouver","799,000",For Sale,49.2877525,-123.1342747,2,1,10-Mar-25
"1861 Island Avenue, Vancouver","1,850,000",For Sale,49.2095296,-123.0684179,5,3,10-Mar-25
"77 - 1701 Parkway Boulevard, Coquitlam","1,678,000",For Sale,49.3059466,-122.802022,5,4,10-Mar-25
"16151 27 Avenue, Surrey","2,499,000",For Sale,49.0501619,-122.7732033,4,4,10-Mar-25
"703 - 1575 Beach Avenue, Vancouver","1,528,000",For Sale,49.2831224,-123.1413054,3,3,10-Mar-25
"15381 36 Avenue, Surrey","1,899,000",For Sale,49.0675766,-122.7963572,5,7,10-Mar-25
"15305 29a Avenue, Surrey","2,273,997",For Sale,49.0556121,-122.7981197,5,4,10-Mar-25
"14492 91 Avenue, Surrey","1,498,000",For Sale,49.1675681,-122.8208924,6,5,10-Mar-25
"411 - 2601 Whiteley Court, North Vancouver","1,067,000",For Sale,49.332494,-123.0420794,2,2,10-Mar-25
"13082 60 Avenue, Surrey","1,435,000",For Sale,49.1116834,-122.8599528,5,4,10-Mar-25
"14095 110 Avenue, Surrey","1,399,999",For Sale,49.2027142,-122.8316048,4,3,10-Mar-25
"12755 104 Avenue, Surrey","1,425,000",For Sale,49.1919433,-122.8691345,5,3,10-Mar-25
"8B - 1568 12th Avenue, Vancouver","1,349,000",For Sale,49.2605144,-123.1402811,2,2,10-Mar-25
"42 24th Avenue, Vancouver","1,849,000",For Sale,49.2494085,-123.1040454,4,2,10-Mar-25
"11098 Caledonia Drive, Surrey","1,479,000",For Sale,49.2041491,-122.8223093,4,2,10-Mar-25
"1705 - 1500 Fern Street, North Vancouver","729,900",For Sale,49.3117599,-123.0322935,1,1,10-Mar-25
"806 - 1600 Hornby Street, Vancouver","2,198,000",For Sale,49.2744543,-123.1334458,3,3,10-Mar-25
"1 - 5737 Clarendon Street, Vancouver","1,798,000",For Sale,49.2320296,-123.0555627,3,4,10-Mar-25
"801 - 525 Foster Avenue, Coquitlam","630,000",For Sale,49.25715,-122.89048,1,1,10-Mar-25
"908 - 13318 104 Avenue, Surrey","579,000",For Sale,49.1914074,-122.8533952,2,1,10-Mar-25
"101 - 941 Dansey Avenue, Coquitlam","1,299,999",For Sale,49.2473894,-122.8699094,3,3,10-Mar-25
"642 Thompson Avenue, Coquitlam","4,999,000",For Sale,49.2682286,-122.8835934,6,7,10-Mar-25
"2511 Lawson Avenue, West Vancouver","5,250,000",For Sale,49.3378124,-123.182919,5,5,10-Mar-25
"2 - 4579 Culloden Street, Vancouver","1,649,900",For Sale,49.243574,-123.0792286,3,4,10-Mar-25
"7 - 16588 Fraser Hwy , Surrey","2,850",For Rent,49.1508851,-122.7633143,2,1,10-Mar-25
"1780 Austin Avenue, Coquitlam","3,000",For Rent,49.2487762,-122.8446981,3,1,09-Mar-25
"1203 - 9868 Cameron Street, Burnaby","2,295",For Rent,49.2530275,-122.8943917,1,1,09-Mar-25
"Garden Suite - 1314 Chartwell Drive, West Vancouver","3,400",For Rent,49.3468868,-123.1536877,2,2,09-Mar-25
"416 - 8100 Jones Road, Richmond","2,690",For Rent,49.1560952,-123.1349111,2,2,09-Mar-25
"74 - 7428 14 Avenue, Burnaby","2,950",For Rent,49.2167989,-122.9418936,2,3,09-Mar-25
"7468 Curtis Street, Burnaby","3,980,000",For Sale,49.27496,-122.94599,3,2,09-Mar-25
"2106 - 1033 Nelson Street, Vancouver","6,800",For Rent,49.2819318,-123.1268142,2,2,09-Mar-25
"201 - 6705 Nelson Street, West Vancouver","5,995",For Rent,49.283155,-123.1290235,2,2,09-Mar-25
"312 - 733 14th Street, North Vancouver","659,800",For Sale,49.3210651,-123.0931234,3,5,09-Mar-25
"2701 - 1480 Howe Street , Vancouver","3,300",For Rent,49.2749438,-123.1312301,4,4,09-Mar-25
"2 Bed Suite - 6011 Mckee Street, Burnaby","2,200",For Rent,49.2114113,-122.9758715,2,2,09-Mar-25
"320X - 1182 Westwood Street, Coquitlam","3,200",For Rent,49.2819665,-122.7907456,2,2,08-Mar-25
"1606 - 2004 Fullerton Avenue, North Vancouver","440,000",For Sale,49.3302517,-123.1206331,2,3,08-Mar-25
"Oak Street, Vancouver","4,750",For Rent,49.2320991,-123.1281355,3,3,08-Mar-25
"13 Ellesmere Avenue, Burnaby","1,949,999",For Sale,49.2839716,-122.9825837,4,2,08-Mar-25
"119 - 707 Robinson Street, Coquitlam","1,179,000",For Sale,49.2609899,-122.8794539,3,3,08-Mar-25
"4062 39th Avenue, Vancouver","5,698,000",For Sale,49.2362568,-123.195802,6,6,08-Mar-25
"2106 - 583 Beach Crescent, Vancouver","3,900",For Rent,49.27341,-123.1292831,2,1,08-Mar-25
"116 - 6533 Mckay Avenue, Burnaby","2,550",For Rent,49.2246943,-123.0085074,2,2,08-Mar-25
"650 56th Avenue, Vancouver","1,955,000",For Sale,49.2189107,-123.0920239,1,3,08-Mar-25
"905 - 5199 Brighouse Way, Richmond","788,000",For Sale,49.1731639,-123.1559308,7,6,08-Mar-25
"517 - 7128 Adera Street, Vancouver","3,850",For Rent,49.2207655,-123.1433014,2,2,08-Mar-25
"1657 59th Avenue, Vancouver","1,998,000",For Sale,49.2178854,-123.1447337,5,2,11-Mar-25
"10931 Springwood Court, Richmond","3,888,000",For Sale,49.1350193,-123.1930761,3,4,11-Mar-25
"2005 - 10626 City Parkway, Surrey","588,000",For Sale,49.1955846,-122.8479033,4,4,11-Mar-25
"911 - 10448 University Drive, Surrey","409,900",For Sale,49.1923857,-122.8504739,1,1,11-Mar-25
"1602 - 3331 Browning Road, Richmond","699,800",For Sale,49.1665898,-123.133569,0,1,11-Mar-25
"117 - 8480 Granville Avenue, Richmond","829,900",For Sale,49.1621703,-123.1293014,2,2,11-Mar-25
"2307 - 977 Mainland Street, Vancouver","698,888",For Sale,49.2772935,-123.1183606,1,1,11-Mar-25
"3504 - 4458 Beresford Street, Burnaby","699,000",For Sale,49.2251804,-123.0049229,1,1,11-Mar-25
"312 - 6468 195a Street, Surrey","490,000",For Sale,49.1198214,-122.6810818,1,1,11-Mar-25
"9433 156 Street, Surrey","1,899,900",For Sale,49.1741113,-122.790375,3,1,11-Mar-25
"5231 Woodwards Road, Richmond","1,890,000",For Sale,49.1441683,-123.1666425,7,4,11-Mar-25
